Date,KOSDAQ
2019-01-02,669.3699951171875
2019-01-03,657.02001953125
2019-01-04,664.489990234375
2019-01-07,672.8400268554688
2019-01-08,668.489990234375
2019-01-09,679.739990234375
2019-01-10,683.3400268554688
2019-01-11,686.3300170898438
2019-01-14,683.0900268554688
2019-01-15,690.3900146484375
2019-01-16,693.3800048828125
2019-01-17,686.3499755859375
2019-01-18,696.3400268554688
2019-01-21,695.6199951171875
2019-01-22,694.5499877929688
2019-01-23,695.6300048828125
2019-01-24,704.4099731445312
2019-01-25,711.3800048828125
2019-01-28,714.260009765625
2019-01-29,710.989990234375
2019-01-30,715.2999877929688
2019-01-31,716.8599853515625
2019-02-01,716.9199829101562
2019-02-07,728.7899780273438
2019-02-08,728.739990234375
2019-02-11,733.469970703125
2019-02-12,730.5800170898438
2019-02-13,739.9099731445312
2019-02-14,742.27001953125
2019-02-15,738.6599731445312
2019-02-18,745.3300170898438
2019-02-19,748.0499877929688
2019-02-20,750.6900024414062
2019-02-21,747.3300170898438
2019-02-22,743.3800048828125
2019-02-25,750.4000244140625
2019-02-26,747.0900268554688
2019-02-27,752.1599731445312
2019-02-28,731.25
2019-03-04,748.0700073242188
2019-03-05,747.9500122070312
2019-03-06,746.7000122070312
2019-03-07,736.8300170898438
2019-03-08,735.969970703125
2019-03-11,739.0900268554688
2019-03-12,754.760009765625
2019-03-13,754.8900146484375
2019-03-14,755.4199829101562
2019-03-15,748.3599853515625
2019-03-18,753.1300048828125
2019-03-19,748.9099731445312
2019-03-20,749.760009765625
2019-03-21,743.52001953125
2019-03-22,743.969970703125
2019-03-25,727.2100219726562
2019-03-26,736.8099975585938
2019-03-27,728.4500122070312
2019-03-28,719.719970703125
2019-03-29,729.3099975585938
2019-04-01,736.8099975585938
2019-04-02,739.5700073242188
2019-04-03,749.2999877929688
2019-04-04,751.5800170898438
2019-04-05,751.7100219726562
2019-04-08,751.9199829101562
2019-04-09,756.8099975585938
2019-04-10,760.1500244140625
2019-04-11,766.489990234375
2019-04-12,767.8499755859375
2019-04-15,766.75
2019-04-16,765.02001953125
2019-04-17,766.8900146484375
2019-04-18,753.52001953125
2019-04-19,762.5700073242188
2019-04-22,762.010009765625
2019-04-23,761.4199829101562
2019-04-24,757.8200073242188
2019-04-25,750.4299926757812
2019-04-26,741.0
2019-04-29,750.5999755859375
2019-04-30,754.739990234375
2019-05-02,760.3800048828125
2019-05-03,761.8200073242188
2019-05-07,753.4500122070312
2019-05-08,745.3699951171875
2019-05-09,724.219970703125
2019-05-10,722.6199951171875
2019-05-13,708.7999877929688
2019-05-14,710.1599731445312
2019-05-15,729.5999755859375
2019-05-16,717.5900268554688
2019-05-17,714.1300048828125
2019-05-20,702.0800170898438
2019-05-21,703.97998046875
2019-05-22,706.9299926757812
2019-05-23,696.8900146484375
2019-05-24,690.030029296875
2019-05-27,689.6699829101562
2019-05-28,702.760009765625
2019-05-29,691.469970703125
2019-05-30,689.3300170898438
2019-05-31,696.469970703125
2019-06-03,697.5
2019-06-04,702.530029296875
2019-06-05,707.75
2019-06-07,716.530029296875
2019-06-10,721.1400146484375
2019-06-11,728.7899780273438
2019-06-12,724.3200073242188
2019-06-13,726.6799926757812
2019-06-14,722.25
2019-06-17,719.1300048828125
2019-06-18,714.8599853515625
2019-06-19,717.7100219726562
2019-06-20,727.3200073242188
2019-06-21,722.6400146484375
2019-06-24,717.6900024414062
2019-06-25,710.02001953125
2019-06-26,709.3699951171875
2019-06-27,698.2100219726562
2019-06-28,690.530029296875
2019-07-01,696.0
2019-07-02,696.25
2019-07-03,693.0399780273438
2019-07-04,691.27001953125
2019-07-05,694.1699829101562
2019-07-08,668.719970703125
2019-07-09,657.7999877929688
2019-07-10,666.9000244140625
2019-07-11,677.0900268554688
2019-07-12,681.1699829101562
2019-07-15,674.7899780273438
2019-07-16,674.4199829101562
2019-07-17,666.280029296875
2019-07-18,665.1500244140625
2019-07-19,674.0599975585938
2019-07-22,674.780029296875
2019-07-23,668.6500244140625
2019-07-24,659.8300170898438
2019-07-25,652.4000244140625
2019-07-26,644.5900268554688
2019-07-29,618.780029296875
2019-07-30,625.6400146484375
2019-07-31,630.1799926757812
2019-08-01,622.260009765625
2019-08-02,615.7000122070312
2019-08-05,569.7899780273438
2019-08-06,551.5
2019-08-07,564.6400146484375
2019-08-08,585.4400024414062
2019-08-09,590.0399780273438
2019-08-12,594.1699829101562
2019-08-13,590.75
2019-08-14,597.1500244140625
2019-08-16,591.5700073242188
2019-08-19,594.6500244140625
2019-08-20,607.010009765625
2019-08-21,615.9600219726562
2019-08-22,612.25
2019-08-23,608.97998046875
2019-08-26,582.9099731445312
2019-08-27,588.3200073242188
2019-08-28,602.9000244140625
2019-08-29,599.5700073242188
2019-08-30,610.5499877929688
2019-09-02,619.8099975585938
2019-09-03,620.02001953125
2019-09-04,629.3099975585938
2019-09-05,632.989990234375
2019-09-06,631.1500244140625
2019-09-09,625.77001953125
2019-09-10,623.25
2019-09-11,630.3699951171875
2019-09-16,638.5900268554688
2019-09-17,644.280029296875
2019-09-18,645.1199951171875
2019-09-19,645.7100219726562
2019-09-20,649.0700073242188
2019-09-23,645.010009765625
2019-09-24,641.8499755859375
2019-09-25,626.760009765625
2019-09-26,628.4199829101562
2019-09-27,626.9299926757812
2019-09-30,621.760009765625
2019-10-01,632.0999755859375
2019-10-02,624.510009765625
2019-10-04,621.8400268554688
2019-10-07,627.2100219726562
2019-10-08,635.4099731445312
2019-10-10,634.72998046875
2019-10-11,632.9500122070312
2019-10-14,641.4600219726562
2019-10-15,646.7999877929688
2019-10-16,651.9600219726562
2019-10-17,649.2899780273438
2019-10-18,646.6900024414062
2019-10-21,649.1799926757812
2019-10-22,655.9099731445312
2019-10-23,658.97998046875
2019-10-24,658.75
2019-10-25,652.3699951171875
2019-10-28,652.4199829101562
2019-10-29,658.2999877929688
2019-10-30,655.0399780273438
2019-10-31,658.52001953125
2019-11-01,662.3400268554688
2019-11-04,668.4500122070312
2019-11-05,672.1799926757812
2019-11-06,669.6799926757812
2019-11-07,666.1500244140625
2019-11-08,664.5999755859375
2019-11-11,661.3699951171875
2019-11-12,665.1400146484375
2019-11-13,661.8499755859375
2019-11-14,663.3099975585938
2019-11-15,668.510009765625
2019-11-18,669.3400268554688
2019-11-19,662.530029296875
2019-11-20,649.8699951171875
2019-11-21,635.989990234375
2019-11-22,633.9199829101562
2019-11-25,647.4000244140625
2019-11-26,651.5900268554688
2019-11-27,647.3900146484375
2019-11-28,640.1799926757812
2019-11-29,632.989990234375
2019-12-02,634.5
2019-12-03,629.5800170898438
2019-12-04,625.27001953125
2019-12-05,617.5999755859375
2019-12-06,628.0999755859375
2019-12-09,627.8599853515625
2019-12-10,627.1099853515625
